task,method,seed,step,alpha,checkpoint
peg-insert-side-v3,A,0,,0.01615746133029461,final_model.zip
peg-insert-side-v3,A,1,,0.15153299272060394,final_model.zip
peg-insert-side-v3,A,2,,0.14510560035705566,final_model.zip
peg-insert-side-v3,A,3,,0.0034249720629304647,final_model.zip
peg-insert-side-v3,A,4,,0.12417358160018921,final_model.zip
peg-insert-side-v3,A,5,,0.16313381493091583,final_model.zip
peg-insert-side-v3,A,6,,0.13929526507854462,final_model.zip
peg-insert-side-v3,A,7,,0.0155978137627244,final_model.zip
peg-insert-side-v3,C,0,,0.015673264861106873,final_model.zip
peg-insert-side-v3,C,1,,0.013519596308469772,final_model.zip
peg-insert-side-v3,C,2,,0.04945400729775429,final_model.zip
peg-insert-side-v3,C,3,,0.0034249720629304647,final_model.zip
peg-insert-side-v3,C,4,,0.1566326916217804,final_model.zip
peg-insert-side-v3,C,5,,0.0995703637599945,final_model.zip
peg-insert-side-v3,C,6,,0.05623515695333481,final_model.zip
peg-insert-side-v3,C,7,,0.09847872704267502,final_model.zip
pick-place-v3,A,0,,0.08881861716508865,final_model.zip
pick-place-v3,A,1,,0.02518990822136402,final_model.zip
pick-place-v3,A,2,,0.1217418909072876,final_model.zip
pick-place-v3,A,3,,0.0009878703858703375,final_model.zip
pick-place-v3,A,4,,0.12207893282175064,final_model.zip
pick-place-v3,A,5,,0.00720363250002265,final_model.zip
pick-place-v3,A,6,,0.0008846020791679621,final_model.zip
pick-place-v3,A,7,,0.11280424892902374,final_model.zip
pick-place-v3,C,0,,0.08760806918144226,final_model.zip
pick-place-v3,C,1,,0.02518990822136402,final_model.zip
pick-place-v3,C,2,,0.08690650761127472,final_model.zip
pick-place-v3,C,3,,0.0009878703858703375,final_model.zip
pick-place-v3,C,5,,0.00720363250002265,final_model.zip
pick-place-v3,C,6,,0.0008846020791679621,final_model.zip
